date,open,close,high,low,volume,amount,log_return,amplitude_pct,volatility_5d,volatility_20d,bias_ratio_20d,guba_avg_sentiment,guba_post_volume,guba_pos_ratio,news_avg_sentiment,news_post_volume,news_pos_ratio
2025/4/1,3340.71,3348.44,3357.62,3338.78,422588670,4.99416E+11,0.003797024,0.5647905268680115,6.863609726829554,10.41431859,-0.883685802,-0.100877192,3384,0.44739952718676124,0,0,0
2025/4/2,3344.17,3350.13,3361.13,3343.12,350127364,4.11666E+11,0.000504585,0.5378624075689042,6.9648595386983105,10.248932195751417,-0.845650193,-0.194487766,3570,0.4028011204481793,0.7516190409660339,1,1
2025/4/3,3319.61,3342.01,3358.43,3319.61,400517827,4.8651E+11,-0.002426729,1.1587610033043407,6.587698430193344,9.326468570398838,-1.028726607,-0.143610878,5433,0.4273881833241303,0.9805957317352295,3,1
2025/4/7,3193.1,3096.58,3217.78,3040.69,662199584,7.35367E+11,-0.076274146,5.298906945221592,53.892068432450856,28.466016222411877,-7.920696984,-0.145766509,16189,0.42572116869479276,0,0,0
2025/4/8,3094.26,3145.55,3145.55,3085.12,662242387,7.30166E+11,0.015690479,1.9515077924678288,58.30048432977157,29.331759471159273,-6.156727856,-0.13950455,7673,0.4263000130327121,0,0,0
2025/4/9,3110.01,3186.81,3186.81,3070.08,684797174,7.5543E+11,0.013031661,3.710956748422374,60.18912315281928,29.803276782096844,-4.651258465,0.087628297,5741,0.5512976833304303,0,0,0
2025/4/10,3227.84,3223.64,3239.94,3201.57,591208273,6.82357E+11,0.011490739,1.204025341956373,61.86691835667406,30.241360367494774,-3.334884126,0.032930592,5487,0.519409513,0,0,0
2025/4/11,3219.51,3238.23,3249.85,3211.35,475531804,5.80791E+11,0.004515728,1.1943020932858508,62.43327757848678,30.327650768843604,-2.721633151,0.019091161067871225,3359,0.5171181899374814,0,0,0
2025/4/14,3251.98,3262.81,3272.72,3244.73,471373220,5.43811E+11,0.007561903,0.8643610861489079,7.044378216389324,29.645782600708444,-1.751916822,-0.025574674,2277,0.4883618796662275,0,0,0
2025/4/15,3260.69,3267.66,3268.98,3246.34,396662895,4.56333E+11,0.001485345,0.6938804282198434,7.594194418,29.637897528139124,-1.370557648,-0.102009247,3232,0.45389851485148514,0.8319646716117859,1,1
2025/4/16,3267.67,3276,3276,3233.79,429534854,4.89201E+11,0.002549034,1.2917500596757323,6.444969000332359,29.665455253266305,-0.888838937,-0.156351529,5722,0.4203075847605732,0.8517278432846069,1,1
